Time (s),Device ID,Source Cell ID,Destination Cell ID
339s,52,14,14
339s,63,9,9
339s,65,7,7
339s,86,5,5
340s,51,8,8
340s,62,15,15
340s,68,17,17
341s,37,1,1
341s,44,10,10
342s,60,11,11
342s,63,7,7
343s,34,9,9
343s,96,17,17
344s,18,13,13
344s,34,15,15
345s,6,11,11
345s,10,6,6
345s,68,12,12
346s,0,13,13
346s,57,1,1
346s,68,17,17
347s,14,17,17
347s,96,18,18
348s,44,15,15
349s,18,14,14
349s,52,10,10
350s,49,12,12
352s,54,1,1
353s,0,12,12
353s,49,16,16
354s,2,19,19
354s,47,17,17
354s,54,7,7
355s,10,5,5
357s,46,12,12
357s,96,17,17
359s,0,13,13
359s,16,4,4
359s,80,2,2
360s,46,13,13
361s,58,14,14
362s,2,18,18
362s,13,3,3
363s,34,9,9
363s,73,18,18
364s,34,15,15
366s,6,17,17
366s,10,6,6
366s,16,19,19
366s,96,2,2
367s,10,5,5
367s,46,12,12
367s,80,1,1
368s,16,4,4
369s,84,3,3
370s,0,12,12
370s,2,14,14
370s,60,3,3
373s,16,8,8
374s,19,18,18
374s,60,11,11
374s,96,18,18
375s,10,6,6
376s,26,12,12
376s,96,17,17
378s,87,2,2
379s,10,5,5
379s,60,12,12
380s,87,18,18
381s,6,11,11
381s,19,19,19
382s,0,13,13
382s,14,18,18
382s,96,18,18
383s,96,17,17
384s,44,14,14
384s,87,19,19
387s,19,14,14
390s,44,15,15
390s,58,13,13
393s,44,14,14
393s,81,7,7
394s,19,19,19
394s,31,8,8
394s,34,9,9
394s,95,17,17
394s,96,18,18
395s,58,14,14
395s,64,10,10
395s,95,16,16
396s,31,16,16
396s,46,13,13
398s,21,1,1
399s,26,16,16
399s,31,8,8
399s,43,7,7
399s,65,4,4
399s,81,1,1
399s,96,2,2
400s,19,14,14
401s,29,14,14
401s,95,17,17
401s,96,18,18
402s,29,19,19
402s,65,7,7
403s,29,14,14
403s,58,13,13
